Year,Population
1950,"1,021,000"
1960,"2,361,000"
1970,"5,312,000"
1980,"8,364,379"
1990,"10,612,577"
2000,"9,895,217"
2010,"9,794,304"
2015,"9,904,312"
2020,"9,586,195"
2023,"9,390,000"
